2,3,4,5,combo
still together,still together,still together,still together,still together at w5 or some follow-up w/o breakup
,,,,
,,,,
still together,still together,,,still together at w5 or some follow-up w/o breakup
,,,,
,,,,
still together,still together,still together,still together,still together at w5 or some follow-up w/o breakup
still together,still together,still together,still together,still together at w5 or some follow-up w/o breakup
still together,still together,still together,still together,still together at w5 or some follow-up w/o breakup
broke up,,,,"broke up at wave 2,3,4, or 5"
still together,still together,still together,still together,still together at w5 or some follow-up w/o breakup
,,,,
still together,still together,still together,still together,still together at w5 or some follow-up w/o breakup
,,,,
still together,still together,broke up,,"broke up at wave 2,3,4, or 5"
,,,,
,,,,
still together,still together,still together,still together,still together at w5 or some follow-up w/o breakup
still together,still together,still together,,still together at w5 or some follow-up w/o breakup
broke up,,,,"broke up at wave 2,3,4, or 5"
still together,still together,still together,still together,still together at w5 or some follow-up w/o breakup
,,,,
,,,,
,,,,
still together,still together,,,still together at w5 or some follow-up w/o breakup
,,,,
still together,still together,still together,still together,still together at w5 or some follow-up w/o breakup
,,,,
still together,,,,still together at w5 or some follow-up w/o breakup
still together,still together,still together,still together,still together at w5 or some follow-up w/o breakup
still together,still together,still together,still together,still together at w5 or some follow-up w/o breakup
still together,still together,still together,still together,still together at w5 or some follow-up w/o breakup
still together,still together,still together,still together,still together at w5 or some follow-up w/o breakup
partner passed away,,,,still together at w5 or some follow-up w/o breakup
broke up,,,,"broke up at wave 2,3,4, or 5"
,,,,
still together,,,,still together at w5 or some follow-up w/o breakup
,,,,
,still together,still together,still together,still together at w5 or some follow-up w/o breakup
still together,still together,,,still together at w5 or some follow-up w/o breakup
still together,still together,still together,,still together at w5 or some follow-up w/o breakup
partner passed away,,,,still together at w5 or some follow-up w/o breakup
,,,,
still together,still together,still together,still together,still together at w5 or some follow-up w/o breakup
still together,still together,still together,still together,still together at w5 or some follow-up w/o breakup
still together,still together,still together,,still together at w5 or some follow-up w/o breakup
,,,,
still together,,,,still together at w5 or some follow-up w/o breakup
still together,still together,still together,,still together at w5 or some follow-up w/o breakup
,,,,
still together,still together,still together,still together,still together at w5 or some follow-up w/o breakup
still together,still together,still together,still together,still together at w5 or some follow-up w/o breakup
still together,still together,broke up,,"broke up at wave 2,3,4, or 5"
still together,still together,still together,still together,still together at w5 or some follow-up w/o breakup
still together,still together,still together,still together,still together at w5 or some follow-up w/o breakup
still together,,,,still together at w5 or some follow-up w/o breakup
,,,,
still together,still together,still together,still together,still together at w5 or some follow-up w/o breakup
,,,,
still together,still together,still together,,still together at w5 or some follow-up w/o breakup
,,,,
,,,,
still together,still together,still together,still together,still together at w5 or some follow-up w/o breakup
,,,,
still together,still together,still together,still together,still together at w5 or some follow-up w/o breakup
still together,still together,still together,,still together at w5 or some follow-up w/o breakup
still together,broke up,,,"broke up at wave 2,3,4, or 5"
,,,,
broke up,,,,"broke up at wave 2,3,4, or 5"
still together,still together,still together,,still together at w5 or some follow-up w/o breakup
still together,still together,still together,,still together at w5 or some follow-up w/o breakup
still together,still together,still together,still together,still together at w5 or some follow-up w/o breakup
still together,still together,still together,still together,still together at w5 or some follow-up w/o breakup
still together,still together,broke up,,"broke up at wave 2,3,4, or 5"
,,,,
still together,still together,still together,still together,still together at w5 or some follow-up w/o breakup
,,,,
still together,still together,,,still together at w5 or some follow-up w/o breakup
,,,,
,,,,
still together,still together,still together,still together,still together at w5 or some follow-up w/o breakup
still together,broke up,,,"broke up at wave 2,3,4, or 5"
still together,broke up,,,"broke up at wave 2,3,4, or 5"
still together,broke up,,,"broke up at wave 2,3,4, or 5"
still together,still together,still together,still together,still together at w5 or some follow-up w/o breakup
,,,,
broke up,,,,"broke up at wave 2,3,4, or 5"
still together,still together,still together,still together,still together at w5 or some follow-up w/o breakup
